timestamp,net_util_ec2_one,cpu_util_ec2_one,req_count_ec2_one,rds_util_ec2_one
2014-04-10 00:04:00,251643.0,91.958,94.0,14.012
2014-04-10 00:09:00,3203510.0,94.798,56.0,13.334
2014-04-10 00:14:00,287397.0,92.208,187.0,15.0
2014-04-10 00:19:00,238944.0,93.722,95.0,13.998
2014-04-10 00:24:00,245880.0,93.042,51.0,14.332
2014-04-10 00:29:00,234170.0,92.958,10.0,15.002
2014-04-10 00:34:00,255797.0,95.708,49.0,13.984000000000002
2014-04-10 00:39:00,244002.0,95.25,79.0,14.674
2014-04-10 00:44:00,514385.0,94.458,24.0,14.668
2014-04-10 00:49:00,270883.0,92.75,73.0,13.666
2014-04-10 00:54:00,249887.0,94.208,45.0,13.334
2014-04-10 00:59:00,3201940.0,92.75,9.0,15.046
2014-04-10 01:04:00,280638.0,94.376,33.0,13.332
2014-04-10 01:09:00,3231740.0,92.792,14.0,15.0
2014-04-10 01:14:00,223158.0,91.666,57.0,15.0
2014-04-10 01:19:00,242568.0,87.542,139.0,14.368
2014-04-10 01:24:00,221907.0,90.75,21.0,13.666
2014-04-10 01:29:00,248537.0,91.65,47.0,15.332
2014-04-10 01:34:00,223433.0,90.06200000000004,124.0,14.334
2014-04-10 01:39:00,247310.0,93.416,34.0,14.336
2014-04-10 01:44:00,224771.0,89.904,73.0,14.0
2014-04-10 01:49:00,223668.0,90.542,6.0,14.332
2014-04-10 01:54:00,240044.0,90.628,115.0,13.332
2014-04-10 01:59:00,3221290.0,91.166,14.0,14.998
2014-04-10 02:04:00,235606.0,90.5,21.0,13.666
2014-04-10 02:09:00,3202800.0,89.166,91.0,13.67
2014-04-10 02:14:00,244192.0,90.292,55.0,14.668
2014-04-10 02:19:00,231729.0,90.208,85.0,14.334
2014-04-10 02:24:00,251450.0,93.626,102.0,14.304
2014-04-10 02:29:00,219342.0,93.624,119.0,15.038
2014-04-10 02:34:00,241032.0,93.756,139.0,13.666
2014-04-10 02:39:00,219744.0,93.542,69.0,14.334
2014-04-10 02:44:00,232511.0,92.042,142.0,14.0
2014-04-10 02:49:00,237811.0,90.938,45.0,14.666
2014-04-10 02:54:00,226034.0,91.376,48.0,13.0
2014-04-10 02:59:00,3220170.0,92.666,3.0,14.334
2014-04-10 03:04:00,228654.0,94.42,32.0,14.658
2014-04-10 03:09:00,3227830.0,95.584,4.0,14.0
2014-04-10 03:19:00,256906.0,90.62,72.0,14.318
2014-04-10 03:24:00,216462.0,93.478,103.0,14.278
2014-04-10 03:29:00,238240.0,94.126,64.0,14.706
